analysis_timestamp,user_id,final_label,recommended_action,confidence,primary_reason,subreason,watch_subreason,review_subreason,review_priority,manual_review_reason,fcc_no_or_low_change_candidate,no_fcc_update,long_terminal_flat,low_update_per_cycle,low_update_per_time,fcc_changes,fcc_effective_changes_50mwh,fcc_effective_changes_100mwh,fcc_changes_per_100_cycles,fcc_change_rate_per_100d,flat_tail_days,obs_days,cycle_delta,tail_days,tail_cycle_delta,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,tail_ac_time_ratio,tail_n_80_20_80_ok,tail_n_80_20_80_large_gap,tail_n_80_20_80_any,tail_n_90_10_90_ok,tail_n_90_10_90_large_gap,tail_n_90_10_90_any,tail_n_unresponded_80_20_80_complete_window,tail_n_unresponded_90_10_90_complete_window,tail_n_censored_80_20_80,tail_n_censored_90_10_90,expected_tail_responses_72h,observed_tail_responses_72h,response_residual_z,ml_fw_support_score_0_100,cluster_id,cluster_description,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,operational_message,threshold_version,rule_version,label_version,device_model,batt_vendor,batt_fru
2026-06-03T16:38:27,0350LQ-PF593HRF_0350LQ,REVIEW_INSUFFICIENT_DATA,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,review,REVIEW_SHORT_OBS_ACTIVE_LIKE,,,REVIEW_SHORT_OBS_ACTIVE_LIKE,low,観測期間<120日でactive様（flat_tail<60）。経過観察で十分なことが多い。,False,False,False,False,False,5,1,0,166.667,6.026,1.0,82.98,3.0,1.0,0.0,100.0,100.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,65.2,5.2,"obs_days=83.0, n_samples=532, quality=QUALITY_SHORT_OBS -> insufficient/uncertain data",観測期間・サンプル数・カウンタ整合性のいずれかが不足しており信頼できる判定ができません。review_priorityに従い追加データ収集または手動レビューを行ってください。,v2.0-final,v2.0-final,v2.0-final,ThinkPad X1 2-in-1 Gen 10,SMP,5B11M90097
2026-06-03T16:38:27,ABUCKNER-0B0WH8_abuckner,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,50,15,15,121.951,6.614,10.9,756.01,41.0,10.9,0.0,74.0,81.0,7.0,0.9692,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,71.2,11.8,"flat_tail=10.9d, fcc_changes=50, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad P1 Gen 7,Sunwoda,5B11M37553
2026-06-03T16:38:27,ADAMSTHAMESLNLB_Howes,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,76,0,0,146.154,38.481,0.9,197.5,52.0,0.9,0.0,83.0,100.0,17.0,0.6815,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,64.5,10.2,"flat_tail=0.9d, fcc_changes=76, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad X1 Carbon Gen 13,SMP,5B11M90097
2026-06-03T16:38:27,ADAMS_ALLOY,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,16,0,0,80.0,5.819,12.9,274.94,20.0,12.9,0.0,53.0,94.0,41.0,1.0,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,72.2,12.2,"flat_tail=12.9d, fcc_changes=16, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad X9-14 Gen 1,Sunwoda,LNV-5B11M90102
2026-06-03T16:38:27,ADAMS_JAGUAR3,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,11,9,9,9.565,1.489,89.8,738.71,115.0,89.8,5.0,2.0,100.0,98.0,0.9359,0,2,2,0,2,2,0,0,0,0,,,,0.0,-1.0,n/a,64.5,26.0,"flat_tail=89.8d, fcc_changes=11, tail_cyc=5.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=2/2 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad X1 Yoga Gen 8,SMP,5B10W13973
2026-06-03T16:38:27,ADIEHL-PF4CNVD9_adiehl,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,29,25,25,46.032,12.135,1.7,238.98,63.0,1.7,1.0,1.0,100.0,99.0,0.877,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,67.3,10.5,"flat_tail=1.7d, fcc_changes=29, tail_cyc=1.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad T14s Gen 4,SMP,5B10W51875
2026-06-03T16:38:27,AGEORGE3-4SA7W2_ageorge3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,,,,True,False,True,False,True,1,1,1,5.556,0.49,185.4,203.88,18.0,185.4,13.0,17.0,100.0,83.0,0.8823,0,1,1,0,0,0,0,0,0,0,,,,0.0,1.0,MIXED,78.6,42.6,"flat_tail=185.4d, fcc_changes=1, tail_cyc=13.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/1 -> ambiguous (watch)",FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,v2.0-final,v2.0-final,v2.0-final,ThinkPad X13 Gen 5,SMP,5B11M90048
2026-06-03T16:38:27,AH-PF2PXA6R_ah,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,WATCH_OTHER_AMBIGUOUS,,WATCH_OTHER_AMBIGUOUS,,,,True,False,True,True,True,1,1,1,1.471,0.29,336.9,344.96,68.0,336.9,66.0,6.0,100.0,94.0,0.9503,1,0,1,0,0,0,1,0,0,0,0.115,0.0,-0.361,19.6,1.0,MIXED,71.5,76.0,"flat_tail=336.9d, fcc_changes=1, tail_cyc=66.0, tail_ok[90/80]=0/1, unresp_complete[90/80]=0/1, large_gap[90/80]=0/0 -> ambiguous (watch)",FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,v2.0-final,v2.0-final,v2.0-final,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975
2026-06-03T16:38:27,AH-PF4KXDJ8_ah,NORMAL_OR_RESPONDING,ACTION_NONE,high,NOT_NO_LOW_CHANGE_CANDIDATE,,,,,,False,False,False,False,False,45,7,7,118.421,18.753,0.8,239.96,38.0,0.8,0.0,83.0,100.0,17.0,0.9324,0,0,0,0,0,0,0,0,0,0,,,,0.0,-1.0,n/a,68.8,10.1,"flat_tail=0.8d, fcc_changes=45, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> FCC still updating / not a no-low-change candidate",,v2.0-final,v2.0-final,v2.0-final,ThinkPad X1 Carbon Gen 12,Celxpert,5B11H56384
2026-06-03T16:38:27,AIII1-PF55Q7L6_aiii1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,,,,True,True,True,False,True,0,0,0,0.0,0.0,242.8,242.85,40.0,242.8,40.0,4.0,98.0,94.0,0.5085,0,15,15,0,0,0,0,0,0,0,,,,0.0,1.0,MIXED,51.7,48.0,"flat_tail=242.8d, fcc_changes=0, tail_cyc=40.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/15 -> ambiguous (watch)",FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,v2.0-final,v2.0-final,v2.0-final,ThinkPad T16 Gen 4,SMP,5B11H56412
